Date,Opponent,Venue,Result,Elo,Glicko,TrueSkill,Poisson_Att,Poisson_Def
2023-08-26,Gillingham,A,H,1268.8257536808908,1230.725831838478,20.33580122219125,-0.22494717195631267,0.23680431739238128
2023-09-02,Walsall,A,A,1258.7793721308635,1212.923047791078,20.23505959745716,-0.2299061110078668,0.23573962902490075
2023-09-09,Tranmere,H,H,1269.6856250062788,1230.4474357856184,20.369096050463646,-0.22558781769808167,0.23064077952690407
2023-09-16,Mansfield,H,D,1274.0362448856495,1238.2830647373444,20.304539624216208,-0.22653691445350863,0.22941851918993864
2023-09-23,Crewe,A,A,1265.280831212779,1224.4583796379973,20.211215722527943,-0.2271624877039056,0.23248562189018473
2023-09-30,Notts County,H,H,1277.126489665548,1249.1343263581348,20.346368252996545,-0.20936780414115902,0.2467823298644445
2023-10-03,Newport County,A,A,1267.590354122195,1232.259782415163,20.247513354374043,-0.20966418035599707,0.250123682354564
2023-10-07,Morecambe,H,A,1262.3600104570776,1222.2911562756371,20.166000891065853,-0.21204592108857429,0.25960786910096034
2023-10-14,Forest Green,A,A,1251.4930115264715,1202.7795478491264,20.070130593566784,-0.21774764102309288,0.2781702133733556
2023-10-21,Harrogate,H,A,1244.6807185345992,1189.7840707732278,19.982525549597153,-0.22021055513017973,0.28265650156902666
2023-10-24,Grimsby,A,H,1253.3550752090302,1208.2449861618065,20.072324418894862,-0.2108329233411014,0.2866785290937923
2023-10-28,Accrington,A,H,1264.4946486052277,1231.1812825955335,20.194305946034206,-0.21149058083251088,0.2789314225975185
2023-11-07,Swindon,H,H,1276.390064343594,1250.3046243968176,20.33230027873799,-0.20309998418999625,0.276877743094514
2023-11-11,Sutton,H,D,1276.9483739597588,1247.2991695792361,20.248442676039627,-0.20546346808195182,0.2761419354896465
2023-11-18,Stockport,A,A,1270.7511371651829,1239.8677610304082,20.16851340650711,-0.21103273715077292,0.2783674362632735
2023-11-25,Barrow,H,A,1264.514702619792,1228.5511050437758,20.08752581303509,-0.21200130407744,0.29348327576391414
2023-11-28,Doncaster,A,A,1254.2078912836987,1211.5698418798727,19.994670883078506,-0.21244213150247282,0.301216101689857
2023-12-09,Crawley Town,H,A,1247.2846952162706,1198.1580728151926,19.916262124019006,-0.2149936278159638,0.30550158198080946
2023-12-16,Wrexham,A,A,1239.6428162537695,1190.727343516252,19.84835285956367,-0.21557153334885962,0.30802515452248047
2023-12-22,Salford,H,H,1251.966845535827,1210.8151351882884,19.97823290244483,-0.21155314936516748,0.306471242457416
2023-12-26,Milton Keynes Dons,A,A,1245.611467131608,1201.4432467263098,19.907061801294713,-0.21617661944652486,0.3028872763341299
2023-12-29,AFC Wimbledon,A,A,1236.7649065816813,1188.4600203583516,19.814423271786673,-0.20634606432799021,0.3208783727238513
2024-01-01,Gillingham,H,A,1231.1661613970648,1177.1975890393078,19.751612135185,-0.21228562706960477,0.32040085075849684
2024-01-06,Swindon,A,D,1231.5098191875222,1179.5813349008092,19.864887640570547,-0.20800845591648587,0.3215696777497902
2024-01-13,Bradford,H,D,1235.3262561012361,1185.170558281341,19.793982987991416,-0.20881554639119404,0.3206536767129628
2024-01-27,Morecambe,A,H,1246.173826259863,1206.953812436136,19.893377516271944,-0.21008305744792607,0.31313734701529056
2024-02-03,Forest Green,H,D,1246.703519753457,1204.5066868507251,19.816916398369354,-0.20221825823177325,0.32266495157917635
2024-02-10,Harrogate,A,A,1238.566626868674,1193.9121368919457,19.720760577968267,-0.20833519183744553,0.32046969736264663
2024-02-17,Accrington,H,D,1242.5664468717325,1199.5294256314373,19.661231595777934,-0.21021544748597218,0.31896310717849985
2024-02-24,Sutton,A,D,1240.966892060612,1197.72936693631,19.75435141873019,-0.21127479734547014,0.31694629873787417
2024-02-27,Salford,A,D,1241.6078466590998,1200.7662986286084,19.86044442159605,-0.21154499242674038,0.313765652662023
2024-03-09,Barrow,A,A,1233.868055931215,1190.2041692859593,19.767980819832655,-0.21654153383267835,0.31727755288552195
2024-03-16,Walsall,H,D,1237.63549191797,1196.5698937243762,19.700348141722476,-0.21771249530627562,0.31663376693656625
2024-03-23,Mansfield,A,D,1240.8976566471504,1204.4408671422138,19.826615027441644,-0.21745321730227435,0.312610597952642
2024-03-29,Newport County,H,H,1253.4783819710567,1225.6638204762633,19.95230559813274,-0.21386601278517378,0.3116975343489447
2024-04-01,Tranmere,A,D,1253.2821355378505,1227.0528227578598,20.05751230873886,-0.21376929115954527,0.30970525077305056
2024-04-06,Wrexham,H,A,1248.1063500188068,1217.91750766619,20.00545433188148,-0.21525976517219592,0.31350383303474527
2024-04-09,Stockport,H,A,1244.4726954884482,1211.1730860645466,19.95291063763051,-0.21672140983345847,0.31656794543566635
2024-04-13,Crawley Town,A,H,1254.2882602232426,1231.3398174778958,20.051661060283546,-0.20765778220945294,0.31922360182241394
2024-04-16,Grimsby,H,H,1265.2692985195604,1248.3882301270382,20.1633980302979,-0.20485909164602362,0.31403743281586843
2024-04-20,Notts County,A,A,1255.3657409516736,1232.7245496428748,20.069670118235532,-0.21145871781663012,0.3107006080665467
2024-04-23,Doncaster,H,A,1250.145250692996,1223.5291977287402,20.00856951311325,-0.21310855149954247,0.3243338630841287
2024-04-27,Crewe,H,D,1253.5061453344433,1227.3437737960367,19.945647543658698,-0.21507957773043632,0.32317672087212945
2024-08-10,AFC Wimbledon,A,A,1245.2888543260801,1210.7384685605148,19.84618924629619,-0.2101958181870428,0.3360279302647293
2024-08-17,Milton Keynes Dons,H,H,1259.0731912231086,1237.3592313175732,20.007740416219804,-0.20621992872367328,0.3285117982030951
2024-08-24,Harrogate,H,A,1252.5865256353563,1221.6546768243675,19.928155900987473,-0.213970315281994,0.32752443295165756
2024-08-31,Accrington,A,D,1252.0647074574306,1221.044463614084,20.0396965644125,-0.21499754432971738,0.32460315045484284
2024-09-07,Bromley,H,D,1256.4284401452985,1228.0251608670599,19.975053702013263,-0.21591363800386912,0.32266490012788757
2024-09-14,Morecambe,A,D,1255.4854560450483,1225.5315722951425,20.072313127598356,-0.207288975114655,0.33037435024821266
2024-09-21,Tranmere,H,H,1267.0688685591654,1246.3145681613355,20.206592631209336,-0.1984204881753462,0.3245862774949703
2024-09-28,Walsall,A,A,1258.7153282003987,1233.0150030792777,20.113138305376136,-0.2036854316648942,0.3374775287288111
2024-10-01,Port Vale,A,D,1259.5298152245618,1237.0321240700855,20.22617211248326,-0.20403120189122492,0.3352709347534568
2024-10-05,Carlisle,H,D,1260.8891776271594,1236.4730249918098,20.13762356752665,-0.21101061694444542,0.32945515289546057
2024-10-19,Cheltenham,H,A,1254.8155242523185,1221.8812907828385,20.064338886069294,-0.21243696180151325,0.3334420137479708
2024-10-22,Chesterfield,A,D,1254.314729983023,1225.7768241116567,20.160595472992313,-0.21298796688949176,0.3306628473211069
2024-10-26,Salford,H,A,1247.9001457742936,1212.0459188181978,20.084366915551474,-0.21446719245878193,0.3341942185776035
